Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500002,ABB India Limited,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.00,INE208C01025,Oil Marketing & Distribution,Equity,Energy,Oil & Gas,"Oil Equipment, Services & Distribution",Oil Marketing & Distribution,
500004,Torrent Power AEC Limited,TPAEC,TORRENT POWER AEC LTD.,Delisted,B ,10.00,INE424A01014,-,Equity,-,-,-,-,
500005,"Akar Laminators Ltd.,",AKARLAMIN,AKAR LAMINATORS LTD.,Delisted,XD,10.00,INE984C01013,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
500006,Alpha Drugs India Ltd,ALPHADR,ALPHA DRUG INDIA LTD.,Delisted,B ,10.00,INE256B01026,-,Equity,-,-,-,-,
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.00,INE432A01017,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Housing Finance ,Equity,Finance,Other Financial Services,Other Financial Services,Housing Finance Companies,
500011,Amrut Industries Ltd,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,B ,10.00,INE714B01016,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals,
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5.00,INE436A01026,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty,
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,XT,10.00,INE096A01010,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
500015,ICICI Ltd.,ICICIDM,ICICI LTD.,Delisted,B ,10.00,INE005A01011,-,Equity,-,-,-,-,
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,10.00,INE957C01019,Hotels,Equity,CDGS (Consumer Discretionary Goods & Services),"Hotels, Restaurants & Tourism","Hotels, Restaurants & Tourism",Hotels,
500018,Arvind Polycot Limited,ARPOLDM,ARPOLDM,Delisted,B ,10.00,INE035A01018,-,Equity,-,-,-,-,
500019,Bank Of Rajasthan Ltd.,BOR,BANK OF RAJASTHAN LTD.,Delisted,B ,10.00,INE320A01014,Banks,Equity,Finance,Banks,Banks,Banks,
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.00,INE032A01023,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
500021,Asian Coffee Ltd,ASINCOF,ASINCOF,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Hotels,Equity,CDGS (Consumer Discretionary Goods & Services),"Hotels, Restaurants & Tourism","Hotels, Restaurants & Tourism",Hotels,
500024,Assam Company (India) Limited,ASSAMCO,Assam Company (India) Limited,Delisted,T ,1.00,INE442A01024,Tea & Coffee,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Tea & Coffee,
500025,"Assambrook Limited,",ASSAMBR,ASSAMBROOK LTD.-$,Delisted,X ,10.00,INE353C01011,Tea & Coffee,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Tea & Coffee,
500026,Atash Industries Ltd,ATSHIND,ATASH INDUSTRIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500027,"Atul Limited.,",ATUL,ATUL LTD.,Active,A ,10.00,INE100A01010,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals,
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.00,INE447A01015,Construction & Engineering,Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,
500029,"Autolite (India) Ltd.,",AUTOLITIND,AUTOLITE (INDIA) LTD.,Suspended,Z ,10.00,INE448A01013,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
500030,"Autoriders Finance Ltd.,",AUTORIDFIN,AUTORIDERS FINANCE LTD.,Delisted,Z ,10.00,INE450A01019,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.00,INE193E01025,Household Appliances,Equity,CDGS (Consumer Discretionary Goods & Services),Consumer Durables,Consumer Durables,Household Appliances,
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1.00,INE306A01021,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Cars & Utility Vehicles,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Automobiles,Cars & Utility Vehicles,
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.00,INE296A01024,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
500035,Balaji Distilleries Ltd.,BALAJIDI,BALAJI DISTILLERIES LTD.,Delisted,T ,10.00,INE453A01013,Breweries & Distilleries,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Beverages,Breweries & Distilleries,
500036,"Balaji Industrial Corporation Ltd.,",BALAJIIND,BALAJI INDUSTRIAL CORPORATION LTD.,Delisted,X ,10.00,INE455A01018,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
500037,Balmer Lawrie Freight Containers Lt,BALMERL-B,BALMER LAWRIE FREIGHT CONTAINERS LTD.,Delisted,P ,10.00,-,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Paper & Paper Products,Equity,Basic Materials,Forest Materials,Paper & Forest Products,Paper & Paper Products,
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10.00,INE459A01010,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10.00,INE373A01013,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals,
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5.00,INE176A01028,Footwear,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Footwear,
500044,Rayban Sun Optics India Ltd.,RAYBAN,RAYBAN SUN OPTICS INDIA LTD.,Delisted,B ,10.00,INE854A01012,-,Equity,-,-,-,-,
500045,Bellary Steel & Alloys Ltd,BELLARYS,BELLARY STEELS & ALLOYS LTD.,Delisted,XT,1.00,INE166C01025,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
500046,"Best & Crompton Engineering Ltd.,",BECREL,BEST & CROMPTON ENGG.LTD.,Delisted,Z ,10.00,INE287A01015,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery,
500047,Beta Napthol Limited,BETANAP,BETA NAPHTHOL LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500048,BEML Ltd,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Commercial Vehicles,Equity,Industrials,Capital Goods,Machinery,"Construction, Agricultural & Commercial Vehicles",
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Defence,Equity,Industrials,Capital Goods,Aerospace & Defence,Defence,
500050,"Bharat Rasayan Ltd.,",BHARATRA,BHARAT RASAYAN LTD.,Delisted,T ,10.00,INE838B01013,-,Equity,-,-,-,-,
500051,Bhagawati Gas Limited,BHAGGAS,Bhagawati Gas Limited,Delisted,Z ,10.00,INE099C01010,Industrial Gases,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Industrial Gases,
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals,
500053,Bharat Zinc Limited,BHAZINC,BHARAT ZINC LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500054,Bharti Telecom Ltd.(Delisted for Takeover-21(3a)),BHRTITE-B,BHRTITE-B,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500055,TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Suspended,T ,2.00,INE824B01021,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
500056,Mastergrowth - 93 (Scheme Of UTI),UTIMRDM,MASTERGROWTH-93,Delisted,B ,10.00,INF189A01046,-,Equity,-,-,-,-,
500057,Aditya Birla Chemicals (India) Limited,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.,Delisted,B ,10.00,INE605B01016,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals,
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
500059,Binani Industries Limited,BINANIIND,BINANI INDUSTRIES LTD.,Suspended,Z ,10.00,INE071A01013,Publishing,Equity,CDGS (Consumer Discretionary Goods & Services),Media,Media,Publishing,
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,B ,10.00,INE800A01015,Other Elect.Equip./ Prod.,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment/ Products,
500061,Andhra Valley Power Supply Company,ANVALDM,ANDHRA VALLEY POWER SUPPLY COMPANY LTD.,Delisted,B ,10.00,INE247A01019,-,Equity,-,-,-,-,
500062,"Ashok Leyland Finance Ltd.,",ASHOKLEYFIN,ASHOK LEYLAND FINANCE LTD.,Delisted,B ,10.00,INE251A01011,-,Equity,-,-,-,-,
500063,Oswal Chemicals & Fertilizers Ltd,OSWALCHEM,OSWAL CHEMICALS & FERTILIZERS LTD.,Delisted,B ,10.00,INE143A01010,-,Equity,-,-,-,-,
500064,"Birla Global Finance Ltd.,",BGFL,BIRLA GLOBAL FINANCE LTD.,Delisted,B ,10.00,INE097A01018,-,Equity,-,-,-,-,
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Consumer Electronics,Equity,CDGS (Consumer Discretionary Goods & Services),Consumer Durables,Consumer Durables,Consumer Electronics,
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,X ,10.00,INE131C01011,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery,
500069,BNK Capital Markets Ltd.,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,X ,10.00,INE418C01012,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
500070,Bank Of Punjab Ltd.,BOP,BANK OF PUNJAB LTD.,Delisted,B ,10.00,INE458A01012,-,Equity,-,-,-,-,
500072,Bongaingaon Refinery & Petrochemica,BONGAIREFN,BONGAIGAON REFINERY & PETROCHEMICALS LTD.,Delisted,B ,10.00,INE241A01012,-,Equity,-,-,-,-,
500073,BPL Engineering Ltd.,BPLENG,BPL ENGINEERING LTD.,Delisted,B ,10.00,INE108A01013,-,Equity,-,-,-,-,
500074,"BPL Ltd.,",BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Electronics,Equity,CDGS (Consumer Discretionary Goods & Services),Consumer Durables,Consumer Durables,Consumer Electronics,
500075,Nagarjuna Fertiliser & Chem. Ltd.,NAGARFER,NAGARJUNA FERTILIZERS & CHEMICALS LTD.,Delisted,B ,10.00,INE580A01013,Fertilizers,Equity,Basic Materials,Chemicals & Petrochemicals,Fertilizers & Agricultural Chemicals,Fertilizers,
500076,"Burroughs Wellcome (India) Ltd.,",BURROWEL,BURROUGHS WELLCOME (INDIA) LTD.,Delisted,B ,10.00,INE157A01010,-,Equity,-,-,-,-,
500077,"Cable Corporation of India Ltd.,",CCI,CABLE CORPORATION OF INDIA LTD.,Delisted,B ,10.00,INE475A01016,Other Elect.Equip./ Prod.,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment/ Products,
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5.00,INE959C01023,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals,
500079,Carrier Aircon Ltd,CARIR,CARRIER AIRCON LTD.,Delisted,B ,10.00,INE480A01016,-,Equity,-,-,-,-,
500080,Cauvery Software Engg. Systems Ltd.,CAUVERSOFT,CAUVERY SOFTWARE ENGINEERING SYSTEMS LTD.,Delisted,B ,10.00,INE466B01013,IT Software Products,Equity,Information Technology,Software & Services,IT Software & Services,Software Products,
500081,Celeste International Ltd.,CELEINT,CELESTE INTERNATIONAL LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500082,Centak Chemicals Ltd.,CENCHDM,CENTAK CHEMICALS LTD.,Delisted,B ,10.00,INE942A01015,-,Equity,-,-,-,-,
500083,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.00,INE281A01026,Aluminium,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Aluminium,
500084,"CESC Limited,",CESC,CESC LTD.,Active,A ,1.00,INE486A01021,Electric Utilities,Equity,Utilities,Utilities,Utilities,Electric Utilities,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Fertilizers,Equity,Basic Materials,Chemicals & Petrochemicals,Fertilizers & Agricultural Chemicals,Fertilizers,
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals,
500090,Madura Coats Ltd,MADUCOA,MADURA COATS LTD.,Delisted,B ,10.00,INE122A01014,-,Equity,-,-,-,-,
500091,Core Healthcare ltd.,COREPARENT,CORE HEALTHCARE LTD.,Delisted,B ,10.00,INE494A01017,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,2.00,INE067A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500094,"C.T. Cotton Yarn Ltd.,",CTCOTTON,CT COTTON YARN LTD.,Delisted,XD,10.00,INE107D01019,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
500095,Wyeth Ltd.,WYETH,WYETH LTD.,Delisted,B ,10.00,INE378A01012,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity,FMCG (Fast Moving Consumer Goods),Household & Personal Products,Personal Products,Personal Products,
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500098,Skyline NEPC Ltd,SKYLNEPC,SKYLINE NEPC LTD.,Delisted,B ,10.00,INE575B01011,-,Equity,-,-,-,-,
